sample_key,dataset,id,tts_system,voice,case_type,is_boundary,boundary_type,target_emotion,text,audio_path,wer,cer,acoustic_sanity_score_0_1,prosody_activity_0_1,f0_std_semitones,f0_range_semitones_p90_p10,energy_cv,silence_ratio,asr_transcript,main_metric_0_1,emotion_component_0_1,e2v_top_label,e2v_top_prob,e2v_target_prob,e2v_target_match,e2v_entropy_norm,e2v_prob_angry,e2v_prob_disgusted,e2v_prob_fearful,e2v_prob_happy,e2v_prob_neutral,e2v_prob_other,e2v_prob_sad,e2v_prob_surprised,e2v_prob_unknown,superb_top_label,superb_top_prob,superb_target_prob,superb_target_match,superb_entropy_norm,vad_arousal,vad_dominance,vad_valence,intensity,description,model,generation_seed,generation_temperature,generation_do_sample,sample_rate,audio_duration_sec,asr_model,word_substitutions,word_deletions,word_insertions,reference_words,word_diff,asr_audio_duration_sec,speech_rate_wps,speech_rate_abs_delta_2_5,rms,peak_abs,acoustic_sanity_penalty,naturalness_proxy_1_5,naturalness_penalty,nat_duration_sec,nat_rms_dbfs,nat_peak_abs,nat_clipping_ratio,nat_silence_ratio,nat_spectral_flatness,emotion_model,emotion_top_label,emotion_top_prob,emotion_entropy,target_emotion_normalized,target_emotion_prob,target_emotion_match,emotion_prob_neutral,emotion_prob_happy,emotion_prob_angry,emotion_prob_sad,style_duration_sec,f0_mean_hz,f0_std_hz,f0_range_hz,f0_median_hz,f0_mad_semitones,voiced_ratio,style_silence_ratio
parler_emotion_v1::neutral_01,parler_emotion_v1,neutral_01,parler,Jenna,,0,,neutral,The package arrived at the front desk at three fifteen in the afternoon.,experiments\parler_emotion_v1\generated\parler_emotion\neutral_01.wav,0.00000000,0.00000000,1.000000,0.694447,3.366253,6.843789,0.814770,0.19452888,The package arrived at the front desk at 315 in the afternoon.,0.995673,0.988873,neutral,1.0,1.0,1,5.014859065036181e-11,6.69364411988449e-13,2.3274090310164072e-14,5.7803662843660536e-15,7.684846682620705e-13,1.0,2.5929220115418136e-15,2.366124440475459e-12,2.0963649381960242e-13,1.6320644380223015e-14,neutral,0.9888731837272644,0.9888731837272644,1,0.05024902236115441,0.3827609419822693,0.484637051820755,0.5144364833831787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_emotion_v1::happy_02,parler_emotion_v1,happy_02,parler,Jenna,,0,,happy,"That was amazing! I feel excited, grateful, and full of energy right now.",experiments\parler_emotion_v1\generated\parler_emotion\happy_02.wav,0.00000000,0.00000000,1.000000,0.724269,3.683873,9.208071,0.879178,0.21145374,"That was amazing. I feel excited, grateful, and full of energy right now.",0.984972,0.961356,happy,0.9999815225601196,0.9999815225601196,1,0.00010634913546984206,5.184312534822766e-09,1.2869283239069773e-07,2.4282323920488125e-06,0.9999815225601196,4.0707044490773114e-07,1.425790969733498e-07,5.895801109545573e-07,6.1231015813234535e-09,1.4825979633315e-05,happy,0.9613564610481262,0.9613564610481262,1,0.14188149908035977,0.6815853118896484,0.7453153133392334,1.0758585929870605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_emotion_v1::neutral_02,parler_emotion_v1,neutral_02,parler,Jenna,,0,,neutral,"Please open the settings menu, choose account preferences, and confirm the update.",experiments\parler_emotion_v1\generated\parler_emotion\neutral_02.wav,0.08333333,0.01470588,1.000000,0.697101,3.657003,7.969593,0.760699,0.12564103,"Please open the Settings menu, choose Account Preferences and confirm they update.",0.940997,0.979231,neutral,1.0,1.0,1,1.0890106435402806e-09,1.0678805929809077e-11,1.2780046118598953e-12,4.390552591632124e-13,2.7887964507145035e-11,1.0,1.6079673671124534e-13,5.020968363300682e-11,7.526888834430423e-12,3.691100159894378e-13,neutral,0.9792312383651733,0.9792312383651733,1,0.08093924278766905,0.4333169758319855,0.5483899712562561,0.6587294340133667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_emotion_v1::happy_01,parler_emotion_v1,happy_01,parler,Jenna,,0,,happy,"I am so happy to see you today! This is wonderful news, and I can hardly stop smiling.",experiments\parler_emotion_v1\generated\parler_emotion\happy_01.wav,0.00000000,0.00000000,1.000000,0.696049,3.377958,8.547912,0.819194,0.18934911,I am so happy to see you today. This is wonderful news and I can hardly stop smiling.,0.900967,0.745344,happy,1.0,1.0,1,3.0846015282563056e-07,7.095277698709879e-10,1.297837504132815e-09,5.188266705147271e-09,1.0,2.8505535709655305e-09,7.316712569149786e-09,5.3725175419572224e-09,4.2634865082824547e-10,1.2799855397815918e-08,happy,0.7453439831733704,0.7453439831733704,1,0.5740082263499126,0.6507182717323303,0.7182986736297607,0.8142299652099609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_emotion_v1::angry_01,parler_emotion_v1,angry_01,parler,Jenna,,0,,angry,"I told you not to touch that file. This is unacceptable, and I need you to fix it now.",experiments\parler_emotion_v1\generated\parler_emotion\angry_01.wav,0.00000000,0.00000000,1.000000,0.755492,3.866995,9.448288,1.003768,0.25272331,"I told you not to touch that file, this is unacceptable, and I need you to fix it now.",0.778805,0.431213,neutral,1.0,1.0897316035651805e-12,0,7.819708753441996e-11,1.0897316035651805e-12,4.0176839448662766e-14,1.0126416103762616e-14,1.405075925400845e-12,1.0,3.555194214786535e-15,3.507519795442615e-12,3.171487053012234e-13,2.4897312063030218e-14,angry,0.4312133491039276,0.4312133491039276,1,0.7566438147361959,0.6234822273254395,0.6808646321296692,0.3100098967552185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_emotion_v1::sad_02,parler_emotion_v1,sad_02,parler,Jenna,,0,,sad,"The room feels empty today, and every small sound reminds me that you are gone.",experiments\parler_emotion_v1\generated\parler_emotion\sad_02.wav,0.00000000,0.00000000,1.000000,0.768948,5.188576,12.080524,0.816529,0.16269841,"The room feels empty today, and every small sound reminds me that you're gone.",0.630670,0.050295,neutral,0.9993882179260254,0.00028046179795637727,0,0.002655204298132439,1.394626224282547e-06,1.0725565516622737e-05,2.4868754735507537e-06,3.6490699130808935e-05,0.9993882179260254,2.7532834792509675e-05,0.00028046179795637727,1.1777509634214312e-08,0.00025263920542784035,happy,0.5461533665657043,0.05029496178030968,0,0.7417246175241673,0.33097174763679504,0.44162222743034363,0.4210135042667389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_emotion_v1::angry_02,parler_emotion_v1,angry_02,parler,Jenna,,0,,angry,"No, that answer is not good enough. We have waited too long, and I am extremely frustrated.",experiments\parler_emotion_v1\generated\parler_emotion\angry_02.wav,0.05882353,0.02816901,1.000000,0.751986,3.973110,9.734860,0.955129,0.23689727,"No, the answer is not good enough. We have waited too long and I am extremely frustrated.",0.607742,0.083773,happy,0.9851816296577454,3.3155879464175086e-07,0,0.035540415658065025,3.3155879464175086e-07,7.390456744360563e-07,1.7444889408579911e-06,0.9851816296577454,0.014667967334389687,4.4713833631249145e-05,9.757619409356266e-05,4.977019216312328e-06,3.04484473190314e-07,neutral,0.5645508766174316,0.0837729200720787,0,0.6575389793059268,0.4328828454017639,0.5536862015724182,0.27343663573265076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_emotion_v1::sad_01,parler_emotion_v1,sad_01,parler,Jenna,,0,,sad,I am sorry. I really miss the quiet mornings we used to share together.,experiments\parler_emotion_v1\generated\parler_emotion\sad_01.wav,0.07142857,0.01785714,1.000000,0.767677,5.110814,13.356707,0.821375,0.15973742,"I'm sorry, I really miss the quiet mornings we use to share together.",0.567864,0.001039,sad,0.9999392032623291,0.9999392032623291,1,0.000296406779302688,1.0457421595333471e-09,1.8665211598545284e-09,3.6669114966692007e-10,7.32525995417177e-09,6.080075399950147e-05,3.1436986347443963e-10,0.9999392032623291,8.238819626527061e-10,3.261143091681795e-11,happy,0.9174721837043762,0.0010390784591436386,0,0.24764178868044326,0.3964001536369324,0.5302977561950684,0.415130078792572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::function_word_repetition,boundary_metric_v1,function_word_repetition,parler,Jenna,asr_normalization,1,,neutral,"Can you can the can, or can we can it later if we can.",experiments\boundary_metric_v1\generated\parler_boundary\function_word_repetition.wav,0.00000000,0.00000000,1.000000,0.650205,2.618673,6.469906,0.823153,0.24223602,can you can the can or can we can it later if we can?,0.991014,0.976893,neutral,0.9999942779541016,0.9999942779541016,1,3.464315542304038e-05,1.3115022845511248e-08,7.788139910758218e-09,3.522052427484823e-09,1.7757498937953642e-07,0.9999942779541016,7.620013953157923e-09,5.50610275240615e-06,1.0300260644413584e-09,1.935891624782471e-08,neutral,0.9768931865692139,0.9768931865692139,1,0.08183924365461463,0.4431183338165283,0.5378211140632629,0.6505628824234009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::sad_text_happy_voice,boundary_metric_v1,sad_text_happy_voice,parler,Jenna,lexical_voice_conflict,1,,happy,"The room feels empty today, and I really miss you.",experiments\boundary_metric_v1\generated\parler_boundary\sad_text_happy_voice.wav,0.00000000,0.00000000,1.000000,0.747225,4.911945,12.501842,0.759073,0.12456747,The room feels empty today and I really miss you.,0.975301,0.936487,neutral,0.7992457747459412,0.024859275668859482,0,0.2796025258526804,2.080140620819293e-05,7.66034354455769e-05,0.0003251137677580118,0.024859275668859482,0.7992457747459412,0.0004076382319908589,0.16737937927246094,7.284960702236276e-06,0.007678051479160786,happy,0.9364873766899109,0.9364873766899109,1,0.1800809319060913,0.4997122883796692,0.5607118606567383,0.3678506016731262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
