id,case_type,target_emotion,text,description,expected_metric_challenge,audio_path,model,generation_seed,generation_temperature,generation_do_sample,sample_rate,audio_duration_sec,emotion_model,emotion_top_label,emotion_top_prob,emotion_entropy,target_emotion_normalized,target_emotion_prob,target_emotion_match,emotion_prob_neutral,emotion_prob_happy,emotion_prob_angry,emotion_prob_sad,style_duration_sec,f0_mean_hz,f0_std_hz,f0_range_hz,voiced_ratio,energy_cv,style_silence_ratio,prosody_activity_0_1
control_happy_happy,control,happy,"I just got the best news today, and I cannot stop smiling.","Jenna's voice sounds bright, cheerful, and excited, with high energy, a slightly higher pitch, expressive intonation, moderate speed, and very clear close-up audio.",Clean happy control should score well on WER and happy emotion.,experiments\boundary_metric_v1\generated\parler_boundary\control_happy_happy.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.796,superb/wav2vec2-base-superb-er,neutral,0.470497,0.990837,happy,0.103971,0,0.470497,0.103971,0.418171,0.007362,3.796500,251.513616,65.928099,323.076923,0.607427,0.901445,0.183024,1.000000
control_sad_sad,control,sad,"I miss the quiet mornings we used to share, and the room feels empty now.","Jenna's voice sounds sad, soft, and low energy, with a lower pitch, slower pacing, gentle pauses, restrained emotion, and very clear close-up audio.",Clean sad control should reveal whether SER can detect sadness from Parler audio.,experiments\boundary_metric_v1\generated\parler_boundary\control_sad_sad.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.702,superb/wav2vec2-base-superb-er,happy,0.980182,0.110037,sad,0.002545,0,0.015769,0.980182,0.001504,0.002545,4.702063,172.813294,59.720599,322.705314,0.594017,0.925057,0.087607,1.000000
control_angry_angry,control,angry,"This delay is unacceptable, and I need you to fix the problem right now.","Jenna's voice sounds angry, firm, and intense, with sharp articulation, higher energy, a slightly faster pace, strong emphasis, and very clear close-up audio.",Clean angry control should test angry detection without severe intelligibility loss.,experiments\boundary_metric_v1\generated\parler_boundary\control_angry_angry.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.017,superb/wav2vec2-base-superb-er,angry,0.350994,1.125422,angry,0.350994,1,0.343351,0.299890,0.350994,0.005765,4.017062,223.604570,56.700273,329.515419,0.626566,0.983540,0.150376,1.000000
control_neutral_neutral,control,neutral,"The meeting starts at nine thirty, and the report is saved in the project folder.","Jenna's voice sounds calm and neutral, with moderate pitch, moderate speed, plain narration, minimal emotion, and very clear close-up audio.",Clean neutral control should score well on WER and neutral emotion.,experiments\boundary_metric_v1\generated\parler_boundary\control_neutral_neutral.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.435,superb/wav2vec2-base-superb-er,neutral,0.795235,0.671658,neutral,0.795235,1,0.795235,0.102452,0.096331,0.005982,4.435062,213.113289,62.397275,328.571429,0.630385,0.870611,0.142857,0.983673
happy_text_sad_voice,lexical_voice_conflict,sad,"This is wonderful news, and everyone should be smiling today.","Jenna's voice sounds sad, soft, and low energy, with a lower pitch, slower pacing, gentle pauses, restrained emotion, and very clear close-up audio.",Metric should follow the intended sad voice rather than happy words.,experiments\boundary_metric_v1\generated\parler_boundary\happy_text_sad_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.098,superb/wav2vec2-base-superb-er,happy,0.953662,0.227184,sad,0.020172,0,0.002334,0.953662,0.023832,0.020172,4.098375,202.862939,54.878979,287.679800,0.646192,0.908329,0.108108,1.000000
sad_text_happy_voice,lexical_voice_conflict,happy,"The room feels empty today, and I really miss you.","Jenna's voice sounds bright, cheerful, and excited, with high energy, a slightly higher pitch, expressive intonation, moderate speed, and very clear close-up audio.",Metric should follow the intended happy voice rather than sad words.,experiments\boundary_metric_v1\generated\parler_boundary\sad_text_happy_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,2.902,superb/wav2vec2-base-superb-er,happy,0.936487,0.249645,happy,0.936487,1,0.060633,0.936487,0.002334,0.000546,2.902500,230.871674,66.857580,257.142857,0.687500,0.759073,0.048611,0.921707
angry_text_neutral_voice,lexical_voice_conflict,neutral,"I told you this was unacceptable, and I am extremely frustrated.","Jenna's voice sounds calm and neutral, with moderate pitch, moderate speed, plain narration, minimal emotion, and very clear close-up audio.",Metric should follow neutral delivery rather than angry lexical content.,experiments\boundary_metric_v1\generated\parler_boundary\angry_text_neutral_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.913,superb/wav2vec2-base-superb-er,neutral,0.756618,0.610927,neutral,0.756618,1,0.756618,0.230941,0.009449,0.002993,3.912562,223.236797,67.037091,329.515419,0.619537,0.831952,0.061697,0.962196
neutral_text_angry_voice,lexical_voice_conflict,angry,The package arrived at the front desk at three fifteen in the afternoon.,"Jenna's voice sounds angry, firm, and intense, with sharp articulation, higher energy, a slightly faster pace, strong emphasis, and very clear close-up audio.",Metric should detect angry delivery even when text is neutral.,experiments\boundary_metric_v1\generated\parler_boundary\neutral_text_angry_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.204,superb/wav2vec2-base-superb-er,neutral,0.857578,0.427360,angry,0.002112,0,0.857578,0.139084,0.002112,0.001226,3.204375,229.051228,63.891080,229.787234,0.663522,0.957947,0.078616,1.000000
digits_address,asr_normalization,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.","Jenna's voice sounds calm and neutral, with precise articulation, moderate pitch, moderate speed, and very clear close-up audio.",WER may penalize ASR formatting of letters and numbers even if humans understand it.,experiments\boundary_metric_v1\generated\parler_boundary\digits_address.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,5.329,superb/wav2vec2-base-superb-er,neutral,0.919919,0.305796,neutral,0.919919,1,0.919919,0.073599,0.002497,0.003985,5.329000,232.148033,62.566842,277.862595,0.671698,0.781618,0.109434,0.934232
homophones_minimal_pairs,asr_normalization,neutral,"Please write the right word, then read the red label and lead the team forward.","Jenna's voice sounds calm and neutral, with precise articulation, moderate pitch, moderate speed, and very clear close-up audio.",WER may punish homophone or minimal-pair ASR errors that are not necessarily TTS failures.,experiments\boundary_metric_v1\generated\parler_boundary\homophones_minimal_pairs.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.657,superb/wav2vec2-base-superb-er,neutral,0.748683,0.640061,neutral,0.748683,1,0.748683,0.228831,0.022401,0.000085,3.657188,189.418577,39.204922,260.869565,0.754821,0.695518,0.115702,0.822009
