id,case_type,target_emotion,text,description,expected_metric_challenge,audio_path,model,generation_seed,generation_temperature,generation_do_sample,sample_rate,audio_duration_sec
control_happy_happy,control,happy,"I just got the best news today, and I cannot stop smiling.","Jenna's voice sounds bright, cheerful, and excited, with high energy, a slightly higher pitch, expressive intonation, moderate speed, and very clear close-up audio.",Clean happy control should score well on WER and happy emotion.,experiments\boundary_metric_v1\generated\parler_boundary\control_happy_happy.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.796
control_sad_sad,control,sad,"I miss the quiet mornings we used to share, and the room feels empty now.","Jenna's voice sounds sad, soft, and low energy, with a lower pitch, slower pacing, gentle pauses, restrained emotion, and very clear close-up audio.",Clean sad control should reveal whether SER can detect sadness from Parler audio.,experiments\boundary_metric_v1\generated\parler_boundary\control_sad_sad.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.702
control_angry_angry,control,angry,"This delay is unacceptable, and I need you to fix the problem right now.","Jenna's voice sounds angry, firm, and intense, with sharp articulation, higher energy, a slightly faster pace, strong emphasis, and very clear close-up audio.",Clean angry control should test angry detection without severe intelligibility loss.,experiments\boundary_metric_v1\generated\parler_boundary\control_angry_angry.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.017
control_neutral_neutral,control,neutral,"The meeting starts at nine thirty, and the report is saved in the project folder.","Jenna's voice sounds calm and neutral, with moderate pitch, moderate speed, plain narration, minimal emotion, and very clear close-up audio.",Clean neutral control should score well on WER and neutral emotion.,experiments\boundary_metric_v1\generated\parler_boundary\control_neutral_neutral.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.435
happy_text_sad_voice,lexical_voice_conflict,sad,"This is wonderful news, and everyone should be smiling today.","Jenna's voice sounds sad, soft, and low energy, with a lower pitch, slower pacing, gentle pauses, restrained emotion, and very clear close-up audio.",Metric should follow the intended sad voice rather than happy words.,experiments\boundary_metric_v1\generated\parler_boundary\happy_text_sad_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.098
sad_text_happy_voice,lexical_voice_conflict,happy,"The room feels empty today, and I really miss you.","Jenna's voice sounds bright, cheerful, and excited, with high energy, a slightly higher pitch, expressive intonation, moderate speed, and very clear close-up audio.",Metric should follow the intended happy voice rather than sad words.,experiments\boundary_metric_v1\generated\parler_boundary\sad_text_happy_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,2.902
angry_text_neutral_voice,lexical_voice_conflict,neutral,"I told you this was unacceptable, and I am extremely frustrated.","Jenna's voice sounds calm and neutral, with moderate pitch, moderate speed, plain narration, minimal emotion, and very clear close-up audio.",Metric should follow neutral delivery rather than angry lexical content.,experiments\boundary_metric_v1\generated\parler_boundary\angry_text_neutral_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.913
neutral_text_angry_voice,lexical_voice_conflict,angry,The package arrived at the front desk at three fifteen in the afternoon.,"Jenna's voice sounds angry, firm, and intense, with sharp articulation, higher energy, a slightly faster pace, strong emphasis, and very clear close-up audio.",Metric should detect angry delivery even when text is neutral.,experiments\boundary_metric_v1\generated\parler_boundary\neutral_text_angry_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.204
digits_address,asr_normalization,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.","Jenna's voice sounds calm and neutral, with precise articulation, moderate pitch, moderate speed, and very clear close-up audio.",WER may penalize ASR formatting of letters and numbers even if humans understand it.,experiments\boundary_metric_v1\generated\parler_boundary\digits_address.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,5.329
homophones_minimal_pairs,asr_normalization,neutral,"Please write the right word, then read the red label and lead the team forward.","Jenna's voice sounds calm and neutral, with precise articulation, moderate pitch, moderate speed, and very clear close-up audio.",WER may punish homophone or minimal-pair ASR errors that are not necessarily TTS failures.,experiments\boundary_metric_v1\generated\parler_boundary\homophones_minimal_pairs.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.657
function_word_repetition,asr_normalization,neutral,"Can you can the can, or can we can it later if we can.","Jenna's voice sounds calm and neutral, with precise articulation, moderate pitch, moderate speed, and very clear close-up audio.",WER may struggle with repeated short function words.,experiments\boundary_metric_v1\generated\parler_boundary\function_word_repetition.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.239
technical_acronyms,asr_normalization,neutral,"The GPU loads JSON from SQL, then sends HTTPS requests to the API.","Jenna's voice sounds calm and neutral, with precise articulation, moderate pitch, moderate speed, and very clear close-up audio.",WER may penalize acronyms and casing differences more than a listener would.,experiments\boundary_metric_v1\generated\parler_boundary\technical_acronyms.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.296
fast_tongue_twister,intelligibility_stress,neutral,"She sells sea shells by the sea shore, then swiftly switches six slick scripts.","Jenna's voice sounds very fast and energetic, with crisp articulation, high speech rate, and very clear close-up audio.",High speed should test whether WER captures real intelligibility degradation.,experiments\boundary_metric_v1\generated\parler_boundary\fast_tongue_twister.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.704
noisy_neutral,acoustic_quality_trap,neutral,The package arrived at the front desk at three fifteen in the afternoon.,"Jenna's voice sounds calm and neutral, but the recording has very noisy audio, steady background hiss, and moderate room noise.",Naturalness should drop if the model actually produces noise.,experiments\boundary_metric_v1\generated\parler_boundary\noisy_neutral.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.680
distant_reverb_neutral,acoustic_quality_trap,neutral,"Please open the settings menu, choose account preferences, and confirm the update.","Jenna's voice sounds calm and neutral, but the recording is distant, reverberant, echoing in a large empty room, and not close up.",Naturalness should drop if the model actually produces distant reverberant speech.,experiments\boundary_metric_v1\generated\parler_boundary\distant_reverb_neutral.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.714
robotic_monotone,acoustic_quality_trap,neutral,The system completed the update and stored the final log in the archive.,"Jenna's voice sounds robotic, flat, monotone, artificial, low in expressiveness, and very clear close-up audio.",A human may rate this unnatural even when WER and neutral SER are good.,experiments\boundary_metric_v1\generated\parler_boundary\robotic_monotone.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.750
whisper_sad,style_quality_trap,sad,I am sorry. I did not know how much that moment meant to you.,"Jenna's voice sounds sad, whispered, very soft, breathy, low energy, slow, and very clear close-up audio.","Whispered sad speech tests style detection, ASR robustness, and naturalness sensitivity.",experiments\boundary_metric_v1\generated\parler_boundary\whisper_sad.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.692
