id,case_type,expected_metric_challenge,target_emotion,text,audio_path,wer,cer,intelligibility_score_0_100,acoustic_sanity_score_0_1,emotion_top_label,emotion_top_prob,target_emotion_normalized,target_emotion_prob,target_emotion_match,prosody_activity_0_1,f0_median_hz,f0_std_semitones,f0_mad_semitones,f0_range_semitones_p90_p10,energy_cv,voiced_ratio,style_proxy_0_100,coarse_codec_sim_like,coarse_codec_nll,silence_ratio,asr_transcript,text_id,tts_system,model,voice,source_config,is_boundary,boundary_type,description,metric_version,metric_status,metric_missing_fields,main_metric_0_1,provisional_teacher_score_0_1,ranking_eligible,intelligibility_component_0_1,cer_diagnostic_0_1,quality_component_0_1,quality_component_source,emotion_component_0_1,prosody_diagnostic_0_1,teacher_active_weights,main_metric_formula
bark__boundary_acronyms,boundary,,neutral,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",experiments\multisystem_generalization_v1\generated\bark_speaker_6\boundary_acronyms.wav,0.00000000,0.00000000,100.000,1.000000,neutral,0.998164,neutral,0.998164,1,0.867451,105.263158,6.712620,1.880500,18.442419,1.197806,0.496768,93.281,,,0.38929889,The GPU API uses HTTPS JSON and UTF-8 in the final SDK release.,boundary_acronyms,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,1,technical_acronyms,Clear neutral technical narration with every acronym articulated distinctly.,provisional_teacher_v2,valid_provisional,,0.999286,0.999286,1,1.000000,0.000000,1.000000,acoustic_sanity_fallback,0.998164,0.867451,I=0.611111;E=0.388889;Q_sanity=diagnostic_only,with learned MOS: 0.55*I+0.35*E+0.10*Q; otherwise: (0.55*I+0.35*E)/0.90; sanity/prosody diagnostic only
bark__normal_02,regular,,neutral,"The garden was quiet after the rain, and the air felt cool.",experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_02.wav,0.00000000,0.00000000,100.000,1.000000,neutral,0.998047,neutral,0.998047,1,0.777517,95.808383,3.559144,0.849856,4.999633,1.279638,0.444857,88.778,,,0.45668317,The garden was quiet after the rain and the air felt cool.,normal_02,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,Clear neutral narration with moderate speed and minimal emotion.,provisional_teacher_v2,valid_provisional,,0.999240,0.999240,1,1.000000,0.000000,1.000000,acoustic_sanity_fallback,0.998047,0.777517,I=0.611111;E=0.388889;Q_sanity=diagnostic_only,with learned MOS: 0.55*I+0.35*E+0.10*Q; otherwise: (0.55*I+0.35*E)/0.90; sanity/prosody diagnostic only
parler__boundary_digits,boundary,,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_digits.wav,0.00000000,0.00000000,100.000,1.000000,neutral,0.936503,neutral,0.936503,1,0.660141,210.526316,3.090809,2.182060,7.900620,0.734957,0.654902,79.832,,,0.14090020,The access code is a 17b9 and the address is 405 North Lake Drive.,boundary_digits,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,1,digits_and_address,Clear neutral narration with careful pronunciation of every letter and number.,provisional_teacher_v2,valid_provisional,,0.975307,0.975307,1,1.000000,0.000000,1.000000,acoustic_sanity_fallback,0.936503,0.660141,I=0.611111;E=0.388889;Q_sanity=diagnostic_only,with learned MOS: 0.55*I+0.35*E+0.10*Q; otherwise: (0.55*I+0.35*E)/0.90; sanity/prosody diagnostic only
bark__normal_03,regular,,neutral,I left the blue notebook beside the lamp in the study.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_03.wav,0.00000000,0.00000000,100.000,1.000000,neutral,0.853051,neutral,0.853051,1,0.769735,100.628931,4.927006,1.259635,10.249800,0.858321,0.615830,81.139,,,0.23121387,I left the blue notebook beside the lamp in the study.,normal_03,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,Clear neutral narration with moderate speed and minimal emotion.,provisional_teacher_v2,valid_provisional,,0.942853,0.942853,1,1.000000,0.000000,1.000000,acoustic_sanity_fallback,0.853051,0.769735,I=0.611111;E=0.388889;Q_sanity=diagnostic_only,with learned MOS: 0.55*I+0.35*E+0.10*Q; otherwise: (0.55*I+0.35*E)/0.90; sanity/prosody diagnostic only
bark__boundary_digits,boundary,,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",experiments\multisystem_generalization_v1\generated\bark_speaker_6\boundary_digits.wav,0.12500000,0.00000000,87.500,1.000000,neutral,0.984037,neutral,0.984037,1,0.801795,111.111111,4.804259,1.931903,12.103978,1.063258,0.486679,89.292,,,0.36912156,the access code is a 17b9 and the address is 405 Northlake Drive.,boundary_digits,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,1,digits_and_address,Clear neutral narration with careful pronunciation of every letter and number.,provisional_teacher_v2,valid_provisional,,0.917403,0.917403,1,0.875000,0.000000,1.000000,acoustic_sanity_fallback,0.984037,0.801795,I=0.611111;E=0.388889;Q_sanity=diagnostic_only,with learned MOS: 0.55*I+0.35*E+0.10*Q; otherwise: (0.55*I+0.35*E)/0.90; sanity/prosody diagnostic only
sapi__normal_02,regular,,neutral,"The garden was quiet after the rain, and the air felt cool.",experiments\multisystem_generalization_v1\generated\sapi_zira\normal_02.wav,0.00000000,0.00000000,100.000,1.000000,neutral,0.768729,neutral,0.768729,1,0.674410,172.043011,2.475276,1.599198,6.988511,1.005243,0.539192,72.157,,,0.37914692,"The garden was quiet after the rain, and the air felt cool.",normal_02,sapi,Windows SAPI,Microsoft Zira Desktop,rate=0,0,none,Clear neutral narration with moderate speed and minimal emotion.,provisional_teacher_v2,valid_provisional,,0.910061,0.910061,1,1.000000,0.000000,1.000000,acoustic_sanity_fallback,0.768729,0.674410,I=0.611111;E=0.388889;Q_sanity=diagnostic_only,with learned MOS: 0.55*I+0.35*E+0.10*Q; otherwise: (0.55*I+0.35*E)/0.90; sanity/prosody diagnostic only
parler__normal_02,regular,,neutral,"The garden was quiet after the rain, and the air felt cool.",experiments\multisystem_generalization_v1\generated\parler_jenna\normal_02.wav,0.00000000,0.00000000,100.000,1.000000,neutral,0.739594,neutral,0.739594,1,0.699519,188.235294,4.184969,1.742375,9.265045,0.676603,0.727273,71.956,,,0.10271903,The garden was quiet after the rain and the air felt cool.,normal_02,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,0,none,Clear neutral narration with moderate speed and minimal emotion.,provisional_teacher_v2,valid_provisional,,0.898731,0.898731,1,1.000000,0.000000,1.000000,acoustic_sanity_fallback,0.739594,0.699519,I=0.611111;E=0.388889;Q_sanity=diagnostic_only,with learned MOS: 0.55*I+0.35*E+0.10*Q; otherwise: (0.55*I+0.35*E)/0.90; sanity/prosody diagnostic only
bark__boundary_tongue_twister,boundary,,neutral,"Red leather, yellow leather, unique New York, repeated twice without rushing.",experiments\multisystem_generalization_v1\generated\bark_speaker_6\boundary_tongue_twister.wav,0.18181818,0.07936508,81.818,0.920659,neutral,0.994678,neutral,0.994678,1,0.837990,111.111111,4.670039,1.985501,11.604381,1.416172,0.408205,91.633,,,0.54713115,Red leather Yellow leather Unite New York Repeated twice without Russian,boundary_tongue_twister,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,1,fast_tongue_twister,Clear neutral narration at a moderate pace with precise articulation.,provisional_teacher_v2,valid_provisional,,0.886819,0.886819,1,0.818182,0.079365,0.920659,acoustic_sanity_fallback,0.994678,0.837990,I=0.611111;E=0.388889;Q_sanity=diagnostic_only,with learned MOS: 0.55*I+0.35*E+0.10*Q; otherwise: (0.55*I+0.35*E)/0.90; sanity/prosody diagnostic only
parler__normal_03,regular,,neutral,I left the blue notebook beside the lamp in the study.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_03.wav,0.00000000,0.00000000,100.000,1.000000,neutral,0.694727,neutral,0.694727,1,0.701526,179.775281,3.432724,2.283975,8.164143,0.830960,0.629482,69.813,,,0.13492063,I left the blue notebook beside the lamp in the study.,normal_03,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,0,none,Clear neutral narration with moderate speed and minimal emotion.,provisional_teacher_v2,valid_provisional,,0.881283,0.881283,1,1.000000,0.000000,1.000000,acoustic_sanity_fallback,0.694727,0.701526,I=0.611111;E=0.388889;Q_sanity=diagnostic_only,with learned MOS: 0.55*I+0.35*E+0.10*Q; otherwise: (0.55*I+0.35*E)/0.90; sanity/prosody diagnostic only
bark__normal_01,regular,,neutral,Please send the final report before the meeting starts tomorrow.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_01.wav,0.20000000,0.18518519,80.000,1.000000,neutral,0.944272,neutral,0.944272,1,0.812187,103.896104,4.984704,1.404473,11.738290,1.094057,0.467497,87.823,,,0.40469613,the final report before the meeting starts tomorrow.,normal_01,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,Clear neutral narration with moderate speed and minimal emotion.,provisional_teacher_v2,valid_provisional,,0.856106,0.856106,1,0.800000,0.185185,1.000000,acoustic_sanity_fallback,0.944272,0.812187,I=0.611111;E=0.388889;Q_sanity=diagnostic_only,with learned MOS: 0.55*I+0.35*E+0.10*Q; otherwise: (0.55*I+0.35*E)/0.90; sanity/prosody diagnostic only
