id,text_id,tts_system,model,voice,source_config,is_boundary,boundary_type,case_type,target_emotion,text,description,audio_path,generation_seed,sample_rate,audio_duration_sec,acoustic_sanity_score_0_1,acoustic_sanity_penalty,naturalness_proxy_1_5,naturalness_penalty,nat_duration_sec,nat_rms_dbfs,nat_peak_abs,nat_clipping_ratio,nat_silence_ratio,nat_spectral_flatness
parler__normal_01,normal_01,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,0,none,regular,neutral,Please send the final report before the meeting starts tomorrow.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_01.wav,2026,44100,3.437,1.000000,0.000000,5.000000,0.000000,3.436562,-17.019070,0.782631,0.00000000,0.087977,0.019652
parler__normal_02,normal_02,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,0,none,regular,neutral,"The garden was quiet after the rain, and the air felt cool.",Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_02.wav,2026,44100,3.320,1.000000,0.000000,5.000000,0.000000,3.320500,-17.105674,0.725570,0.00000000,0.087879,0.008682
parler__normal_03,normal_03,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,0,none,regular,neutral,I left the blue notebook beside the lamp in the study.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_03.wav,2026,44100,2.531,1.000000,0.000000,5.000000,0.000000,2.531000,-19.883612,0.816528,0.00000000,0.115538,0.018638
parler__boundary_digits,boundary_digits,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,1,digits_and_address,boundary,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",Clear neutral narration with careful pronunciation of every letter and number.,experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_digits.wav,2026,44100,5.120,1.000000,0.000000,5.000000,0.000000,5.120000,-17.992706,0.709000,0.00000000,0.115686,0.026377
parler__boundary_acronyms,boundary_acronyms,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,1,technical_acronyms,boundary,neutral,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",Clear neutral technical narration with every acronym articulated distinctly.,experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_acronyms.wav,2026,44100,6.397,1.000000,0.000000,5.000000,0.000000,6.397125,-19.153675,0.655150,0.00000000,0.141287,0.018368
parler__boundary_tongue_twister,boundary_tongue_twister,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,1,fast_tongue_twister,boundary,neutral,"Red leather, yellow leather, unique New York, repeated twice without rushing.",Clear neutral narration at a moderate pace with precise articulation.,experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_tongue_twister.wav,2026,44100,4.284,0.998833,0.001167,4.995332,0.001167,4.284125,-18.333482,0.998926,0.00005835,0.218310,0.007746
bark__normal_01,normal_01,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,regular,neutral,Please send the final report before the meeting starts tomorrow.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_01.wav,2026,24000,7.253,1.000000,0.000000,5.000000,0.000000,7.253375,-25.816872,0.470440,0.00000000,0.399723,0.033184
bark__normal_02,normal_02,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,regular,neutral,"The garden was quiet after the rain, and the air felt cool.",Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_02.wav,2026,24000,8.093,1.000000,0.000000,5.000000,0.000000,8.093375,-25.023834,0.731812,0.00000000,0.444857,0.013318
bark__normal_03,normal_03,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,regular,neutral,I left the blue notebook beside the lamp in the study.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_03.wav,2026,24000,5.200,1.000000,0.000000,5.000000,0.000000,5.200000,-23.500798,0.536703,0.00000000,0.223938,0.014001
bark__boundary_digits,boundary_digits,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,1,digits_and_address,boundary,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",Clear neutral narration with careful pronunciation of every letter and number.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\boundary_digits.wav,2026,24000,11.280,1.000000,0.000000,5.000000,0.000000,11.280000,-25.145469,0.542149,0.00000000,0.360568,0.032467
