id,text_id,tts_system,model,voice,source_config,is_boundary,boundary_type,case_type,target_emotion,text,description,audio_path,generation_seed,sample_rate,audio_duration_sec,asr_model,asr_transcript,wer,cer,word_substitutions,word_deletions,word_insertions,reference_words,word_diff,asr_audio_duration_sec,speech_rate_wps,speech_rate_abs_delta_2_5,rms,peak_abs,silence_ratio
parler__normal_01,normal_01,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,0,none,regular,neutral,Please send the final report before the meeting starts tomorrow.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_01.wav,2026,44100,3.437,openai/whisper-tiny.en,Please send the final report before the meeting starts tomorrow.,0.00000000,0.00000000,0,0,0,10,please send the final report before the meeting starts tomorrow,3.436562,2.909885,0.409885,0.14094397,0.78263116,0.11695906
parler__normal_02,normal_02,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,0,none,regular,neutral,"The garden was quiet after the rain, and the air felt cool.",Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_02.wav,2026,44100,3.320,openai/whisper-tiny.en,The garden was quiet after the rain and the air felt cool.,0.00000000,0.00000000,0,0,0,12,the garden was quiet after the rain and the air felt cool,3.320500,3.613914,1.113914,0.13954565,0.72556961,0.10271903
parler__normal_03,normal_03,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,0,none,regular,neutral,I left the blue notebook beside the lamp in the study.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_03.wav,2026,44100,2.531,openai/whisper-tiny.en,I left the blue notebook beside the lamp in the study.,0.00000000,0.00000000,0,0,0,11,i left the blue notebook beside the lamp in the study,2.531000,4.346108,1.846108,0.10134898,0.81652772,0.13492063
parler__boundary_digits,boundary_digits,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,1,digits_and_address,boundary,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",Clear neutral narration with careful pronunciation of every letter and number.,experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_digits.wav,2026,44100,5.120,openai/whisper-tiny.en,The access code is a 17b9 and the address is 405 North Lake Drive.,0.00000000,0.00000000,0,0,0,16,the access code is a 17 b 9 and the address is 405 north lake drive,5.120000,3.125000,0.625000,0.12599830,0.70899993,0.14090020
parler__boundary_acronyms,boundary_acronyms,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,1,technical_acronyms,boundary,neutral,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",Clear neutral technical narration with every acronym articulated distinctly.,experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_acronyms.wav,2026,44100,6.397,openai/whisper-tiny.en,"The 4-Shivroa uses Arca, Zinn and Yuzhil 8 in the final Cobo Kuiq release",0.50000000,0.57142857,6,0,1,14,the gpu->4 api->shivroa uses https->arca json->zinn and utf->yuzhil 8 in the final +cobo sdk->kuiq release,6.397125,2.188483,0.311517,0.11023418,0.65514958,0.15830721
parler__boundary_tongue_twister,boundary_tongue_twister,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,1,fast_tongue_twister,boundary,neutral,"Red leather, yellow leather, unique New York, repeated twice without rushing.",Clear neutral narration at a moderate pace with precise articulation.,experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_tongue_twister.wav,2026,44100,4.284,openai/whisper-tiny.en,"Redlar, yellow leather, unique New York, repeated twice without rushing",0.18181818,0.06349206,1,1,0,11,-red leather->redlar yellow leather unique new york repeated twice without rushing,4.284125,2.567619,0.067619,0.12115069,0.99892628,0.23185012
bark__normal_01,normal_01,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,regular,neutral,Please send the final report before the meeting starts tomorrow.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_01.wav,2026,24000,7.253,openai/whisper-tiny.en,the final report before the meeting starts tomorrow.,0.20000000,0.18518519,0,2,0,10,-please -send the final report before the meeting starts tomorrow,7.253375,1.378669,1.121331,0.05118661,0.47043982,0.40469613
bark__normal_02,normal_02,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,regular,neutral,"The garden was quiet after the rain, and the air felt cool.",Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_02.wav,2026,24000,8.093,openai/whisper-tiny.en,The garden was quiet after the rain and the air felt cool.,0.00000000,0.00000000,0,0,0,12,the garden was quiet after the rain and the air felt cool,8.093375,1.482694,1.017306,0.05608004,0.73181206,0.45668317
bark__normal_03,normal_03,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,regular,neutral,I left the blue notebook beside the lamp in the study.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_03.wav,2026,24000,5.200,openai/whisper-tiny.en,I left the blue notebook beside the lamp in the study.,0.00000000,0.00000000,0,0,0,11,i left the blue notebook beside the lamp in the study,5.200000,2.115385,0.384615,0.06682825,0.53670263,0.23121387
bark__boundary_digits,boundary_digits,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,1,digits_and_address,boundary,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",Clear neutral narration with careful pronunciation of every letter and number.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\boundary_digits.wav,2026,24000,11.280,openai/whisper-tiny.en,the access code is a 17b9 and the address is 405 Northlake Drive.,0.12500000,0.00000000,1,1,0,16,the access code is a 17 b 9 and the address is 405 -north lake->northlake drive,11.280000,1.418440,1.081560,0.05530018,0.54214942,0.36912156
