rater_id,blind_id,text,target_emotion,is_boundary,boundary_type,intelligibility_1_5,naturalness_1_5,emotion_match_1_5,overall_acceptability_1_5,heard_transcript_optional,notes_optional
,clip_001,"Red leather, yellow leather, unique New York, repeated twice without rushing.",neutral,1,fast_tongue_twister,,,,,,
,clip_002,I left the blue notebook beside the lamp in the study.,neutral,0,none,,,,,,
,clip_003,Please send the final report before the meeting starts tomorrow.,neutral,0,none,,,,,,
,clip_004,"The garden was quiet after the rain, and the air felt cool.",neutral,0,none,,,,,,
,clip_005,"The garden was quiet after the rain, and the air felt cool.",neutral,0,none,,,,,,
,clip_006,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",neutral,1,technical_acronyms,,,,,,
,clip_007,"Red leather, yellow leather, unique New York, repeated twice without rushing.",neutral,1,fast_tongue_twister,,,,,,
,clip_008,"The garden was quiet after the rain, and the air felt cool.",neutral,0,none,,,,,,
,clip_009,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",neutral,1,technical_acronyms,,,,,,
,clip_010,Please send the final report before the meeting starts tomorrow.,neutral,0,none,,,,,,
,clip_011,I left the blue notebook beside the lamp in the study.,neutral,0,none,,,,,,
,clip_012,Please send the final report before the meeting starts tomorrow.,neutral,0,none,,,,,,
,clip_013,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",neutral,1,digits_and_address,,,,,,
,clip_014,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",neutral,1,digits_and_address,,,,,,
,clip_015,I left the blue notebook beside the lamp in the study.,neutral,0,none,,,,,,
,clip_016,"Red leather, yellow leather, unique New York, repeated twice without rushing.",neutral,1,fast_tongue_twister,,,,,,
,clip_017,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",neutral,1,technical_acronyms,,,,,,
,clip_018,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",neutral,1,digits_and_address,,,,,,
