blind_id,id,text_id,tts_system,model,voice,source_config,is_boundary,boundary_type,case_type,target_emotion,text,description,audio_path,generation_seed,sample_rate,audio_duration_sec
clip_001,parler__boundary_tongue_twister,boundary_tongue_twister,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,1,fast_tongue_twister,boundary,neutral,"Red leather, yellow leather, unique New York, repeated twice without rushing.",Clear neutral narration at a moderate pace with precise articulation.,experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_tongue_twister.wav,2026,44100,4.284
clip_002,parler__normal_03,normal_03,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,0,none,regular,neutral,I left the blue notebook beside the lamp in the study.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_03.wav,2026,44100,2.531
clip_003,parler__normal_01,normal_01,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,0,none,regular,neutral,Please send the final report before the meeting starts tomorrow.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_01.wav,2026,44100,3.437
clip_004,parler__normal_02,normal_02,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,0,none,regular,neutral,"The garden was quiet after the rain, and the air felt cool.",Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_02.wav,2026,44100,3.320
clip_005,sapi__normal_02,normal_02,sapi,Windows SAPI,Microsoft Zira Desktop,rate=0,0,none,regular,neutral,"The garden was quiet after the rain, and the air felt cool.",Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\sapi_zira\normal_02.wav,,22050,4.239
clip_006,parler__boundary_acronyms,boundary_acronyms,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,1,technical_acronyms,boundary,neutral,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",Clear neutral technical narration with every acronym articulated distinctly.,experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_acronyms.wav,2026,44100,6.397
clip_007,bark__boundary_tongue_twister,boundary_tongue_twister,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,1,fast_tongue_twister,boundary,neutral,"Red leather, yellow leather, unique New York, repeated twice without rushing.",Clear neutral narration at a moderate pace with precise articulation.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\boundary_tongue_twister.wav,2026,24000,9.773
clip_008,bark__normal_02,normal_02,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,regular,neutral,"The garden was quiet after the rain, and the air felt cool.",Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_02.wav,2026,24000,8.093
clip_009,sapi__boundary_acronyms,boundary_acronyms,sapi,Windows SAPI,Microsoft Zira Desktop,rate=0,1,technical_acronyms,boundary,neutral,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",Clear neutral technical narration with every acronym articulated distinctly.,experiments\multisystem_generalization_v1\generated\sapi_zira\boundary_acronyms.wav,,22050,7.273
clip_010,bark__normal_01,normal_01,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,regular,neutral,Please send the final report before the meeting starts tomorrow.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_01.wav,2026,24000,7.253
clip_011,bark__normal_03,normal_03,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,regular,neutral,I left the blue notebook beside the lamp in the study.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_03.wav,2026,24000,5.200
clip_012,sapi__normal_01,normal_01,sapi,Windows SAPI,Microsoft Zira Desktop,rate=0,0,none,regular,neutral,Please send the final report before the meeting starts tomorrow.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\sapi_zira\normal_01.wav,,22050,4.014
clip_013,bark__boundary_digits,boundary_digits,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,1,digits_and_address,boundary,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",Clear neutral narration with careful pronunciation of every letter and number.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\boundary_digits.wav,2026,24000,11.280
clip_014,sapi__boundary_digits,boundary_digits,sapi,Windows SAPI,Microsoft Zira Desktop,rate=0,1,digits_and_address,boundary,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",Clear neutral narration with careful pronunciation of every letter and number.,experiments\multisystem_generalization_v1\generated\sapi_zira\boundary_digits.wav,,22050,6.504
clip_015,sapi__normal_03,normal_03,sapi,Windows SAPI,Microsoft Zira Desktop,rate=0,0,none,regular,neutral,I left the blue notebook beside the lamp in the study.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\sapi_zira\normal_03.wav,,22050,3.484
