candidate,cost_tier,ingredients,pearson,spearman,mae,rmse,top3_overlap,top5_overlap,bottom5_overlap,notes,pearson_ci90,spearman_ci90
ridge_reference_components_loo,high_reference,intelligibility_component_0_1+emotion_component_0_1+prosody_fit_component_0_1+naturalness_component_0_1,0.999020,0.994530,0.004836,0.006862,1.000000,1.000000,1.000000,LOOCV ridge,"[0.999,1.000]","[0.971,1.000]"
ridge_ser_delivery_loo,medium_neural,emotion_component_0_1+target_style_fit_v1+prosody_fit_light+rate_fit+text_ease,0.923714,0.861880,0.042460,0.059714,0.333333,0.600000,0.400000,LOOCV ridge,"[0.879,0.970]","[0.718,0.932]"
emotion_component_0_1,medium_neural,SER target-emotion component only,0.748730,0.737436,0.253532,0.352813,0.666667,0.800000,0.600000,,"[0.531,0.970]","[0.489,0.901]"
ridge_delivery_low_dsp_loo,low_dsp,target_style_fit_v1+prosody_fit_light+pause_naturalness+spectral_balance_fit+articulation_risk_inverse,0.757884,0.662906,0.082021,0.103163,0.333333,0.200000,1.000000,LOOCV ridge,"[0.577,0.878]","[0.364,0.850]"
ridge_emotion_dsp_text_loo,low_dsp,target_style_fit_v1+emotion_arousal_fit_v1+prosody_fit_light+rate_fit+text_ease,0.708831,0.626090,0.085820,0.110147,0.333333,0.200000,0.800000,LOOCV ridge,"[0.524,0.841]","[0.327,0.811]"
prosody_fit_light,low_dsp,existing f0 + energy proxy,0.650867,0.579552,0.243254,0.294761,0.666667,0.400000,0.600000,,"[0.476,0.815]","[0.265,0.774]"
ridge_new_shape_low_dsp_loo,low_dsp,target_style_fit_v1+emotion_arousal_fit_v1+pause_naturalness+envelope_stability+dynamic_range_fit+spectral_balance_fit+voice_presence_fit+articulation_risk_inverse+delivery_fit_v1,0.722131,0.568547,0.084846,0.112394,0.333333,0.200000,0.800000,LOOCV ridge,"[0.481,0.879]","[0.226,0.793]"
lodo_ser_delivery,medium_neural,emotion_component_0_1+target_style_fit_v1+prosody_fit_light+rate_fit+text_ease,0.657633,0.563761,0.069958,0.131184,0.000000,0.600000,0.600000,leave-one-dataset-out,"[0.366,0.960]","[0.190,0.869]"
voice_presence_fit,low_dsp,mid-band energy + voiced/active ratio,0.605033,0.563077,0.251883,0.281648,0.333333,0.400000,0.800000,,"[0.312,0.800]","[0.226,0.793]"
nested_subset_low_dsp_loo,low_dsp,nested selected subset from low-DSP feature pool,0.629271,0.560342,0.094339,0.127459,0.333333,0.600000,0.800000,nested LOOCV; less optimistic than global subset search,"[0.344,0.830]","[0.232,0.800]"
delivery_fit_v1,low_dsp,target_style + prosody + pause + spectrum + articulation risk,0.647887,0.540513,0.176409,0.194645,0.333333,0.400000,0.600000,,"[0.383,0.841]","[0.202,0.764]"
