sample_key,dataset,id,tts_system,voice,case_type,is_boundary,boundary_type,target_emotion,text,audio_path,wer,cer,acoustic_sanity_score_0_1,prosody_activity_0_1,f0_std_semitones,f0_range_semitones_p90_p10,energy_cv,silence_ratio,asr_transcript,main_metric_0_1,emotion_component_0_1
parler_emotion_v1::neutral_01,parler_emotion_v1,neutral_01,parler,Jenna,,0,,neutral,The package arrived at the front desk at three fifteen in the afternoon.,experiments\parler_emotion_v1\generated\parler_emotion\neutral_01.wav,0.00000000,0.00000000,1.000000,0.694447,3.366253,6.843789,0.814770,0.19452888,The package arrived at the front desk at 315 in the afternoon.,0.995673,0.988873
parler_emotion_v1::happy_02,parler_emotion_v1,happy_02,parler,Jenna,,0,,happy,"That was amazing! I feel excited, grateful, and full of energy right now.",experiments\parler_emotion_v1\generated\parler_emotion\happy_02.wav,0.00000000,0.00000000,1.000000,0.724269,3.683873,9.208071,0.879178,0.21145374,"That was amazing. I feel excited, grateful, and full of energy right now.",0.984972,0.961356
parler_emotion_v1::neutral_02,parler_emotion_v1,neutral_02,parler,Jenna,,0,,neutral,"Please open the settings menu, choose account preferences, and confirm the update.",experiments\parler_emotion_v1\generated\parler_emotion\neutral_02.wav,0.08333333,0.01470588,1.000000,0.697101,3.657003,7.969593,0.760699,0.12564103,"Please open the Settings menu, choose Account Preferences and confirm they update.",0.940997,0.979231
parler_emotion_v1::happy_01,parler_emotion_v1,happy_01,parler,Jenna,,0,,happy,"I am so happy to see you today! This is wonderful news, and I can hardly stop smiling.",experiments\parler_emotion_v1\generated\parler_emotion\happy_01.wav,0.00000000,0.00000000,1.000000,0.696049,3.377958,8.547912,0.819194,0.18934911,I am so happy to see you today. This is wonderful news and I can hardly stop smiling.,0.900967,0.745344
parler_emotion_v1::angry_01,parler_emotion_v1,angry_01,parler,Jenna,,0,,angry,"I told you not to touch that file. This is unacceptable, and I need you to fix it now.",experiments\parler_emotion_v1\generated\parler_emotion\angry_01.wav,0.00000000,0.00000000,1.000000,0.755492,3.866995,9.448288,1.003768,0.25272331,"I told you not to touch that file, this is unacceptable, and I need you to fix it now.",0.778805,0.431213
parler_emotion_v1::sad_02,parler_emotion_v1,sad_02,parler,Jenna,,0,,sad,"The room feels empty today, and every small sound reminds me that you are gone.",experiments\parler_emotion_v1\generated\parler_emotion\sad_02.wav,0.00000000,0.00000000,1.000000,0.768948,5.188576,12.080524,0.816529,0.16269841,"The room feels empty today, and every small sound reminds me that you're gone.",0.630670,0.050295
parler_emotion_v1::angry_02,parler_emotion_v1,angry_02,parler,Jenna,,0,,angry,"No, that answer is not good enough. We have waited too long, and I am extremely frustrated.",experiments\parler_emotion_v1\generated\parler_emotion\angry_02.wav,0.05882353,0.02816901,1.000000,0.751986,3.973110,9.734860,0.955129,0.23689727,"No, the answer is not good enough. We have waited too long and I am extremely frustrated.",0.607742,0.083773
parler_emotion_v1::sad_01,parler_emotion_v1,sad_01,parler,Jenna,,0,,sad,I am sorry. I really miss the quiet mornings we used to share together.,experiments\parler_emotion_v1\generated\parler_emotion\sad_01.wav,0.07142857,0.01785714,1.000000,0.767677,5.110814,13.356707,0.821375,0.15973742,"I'm sorry, I really miss the quiet mornings we use to share together.",0.567864,0.001039
boundary_metric_v1::function_word_repetition,boundary_metric_v1,function_word_repetition,parler,Jenna,asr_normalization,1,,neutral,"Can you can the can, or can we can it later if we can.",experiments\boundary_metric_v1\generated\parler_boundary\function_word_repetition.wav,0.00000000,0.00000000,1.000000,0.650205,2.618673,6.469906,0.823153,0.24223602,can you can the can or can we can it later if we can?,0.991014,0.976893
boundary_metric_v1::sad_text_happy_voice,boundary_metric_v1,sad_text_happy_voice,parler,Jenna,lexical_voice_conflict,1,,happy,"The room feels empty today, and I really miss you.",experiments\boundary_metric_v1\generated\parler_boundary\sad_text_happy_voice.wav,0.00000000,0.00000000,1.000000,0.747225,4.911945,12.501842,0.759073,0.12456747,The room feels empty today and I really miss you.,0.975301,0.936487
