id,case_type,target_emotion,text,description,expected_metric_challenge,audio_path,model,generation_seed,generation_temperature,generation_do_sample,sample_rate,audio_duration_sec,asr_model,asr_transcript,wer,cer,word_substitutions,word_deletions,word_insertions,reference_words,word_diff,asr_audio_duration_sec,speech_rate_wps,speech_rate_abs_delta_2_5,rms,peak_abs,silence_ratio
control_happy_happy,control,happy,"I just got the best news today, and I cannot stop smiling.","Jenna's voice sounds bright, cheerful, and excited, with high energy, a slightly higher pitch, expressive intonation, moderate speed, and very clear close-up audio.",Clean happy control should score well on WER and happy emotion.,experiments\boundary_metric_v1\generated\parler_boundary\control_happy_happy.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.796,openai/whisper-tiny.en,I just got the best news today and I cannot stop smiling.,0.00000000,0.00000000,0,0,0,12,i just got the best news today and i cannot stop smiling,3.796500,3.160806,0.660806,0.11642372,0.83577055,0.24338624
control_sad_sad,control,sad,"I miss the quiet mornings we used to share, and the room feels empty now.","Jenna's voice sounds sad, soft, and low energy, with a lower pitch, slower pacing, gentle pauses, restrained emotion, and very clear close-up audio.",Clean sad control should reveal whether SER can detect sadness from Parler audio.,experiments\boundary_metric_v1\generated\parler_boundary\control_sad_sad.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.702,openai/whisper-tiny.en,I miss the quiet mornings we used to share and the room feels empty now.,0.00000000,0.00000000,0,0,0,15,i miss the quiet mornings we used to share and the room feels empty now,4.702063,3.190089,0.690089,0.10012045,0.81290954,0.19829424
control_angry_angry,control,angry,"This delay is unacceptable, and I need you to fix the problem right now.","Jenna's voice sounds angry, firm, and intense, with sharp articulation, higher energy, a slightly faster pace, strong emphasis, and very clear close-up audio.",Clean angry control should test angry detection without severe intelligibility loss.,experiments\boundary_metric_v1\generated\parler_boundary\control_angry_angry.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.017,openai/whisper-tiny.en,This delay is unacceptable and I need you to fix the problem right now.,0.00000000,0.00000000,0,0,0,14,this delay is unacceptable and i need you to fix the problem right now,4.017062,3.485134,0.985134,0.13712604,0.89411330,0.21000000
control_neutral_neutral,control,neutral,"The meeting starts at nine thirty, and the report is saved in the project folder.","Jenna's voice sounds calm and neutral, with moderate pitch, moderate speed, plain narration, minimal emotion, and very clear close-up audio.",Clean neutral control should score well on WER and neutral emotion.,experiments\boundary_metric_v1\generated\parler_boundary\control_neutral_neutral.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.435,openai/whisper-tiny.en,The meeting starts at 9.30 and the report is saved in the project folder.,0.07142857,0.01724138,1,0,0,14,the meeting starts at 930->9.30 and the report is saved in the project folder,4.435062,3.156664,0.656664,0.12771922,0.79291254,0.20135747
happy_text_sad_voice,lexical_voice_conflict,sad,"This is wonderful news, and everyone should be smiling today.","Jenna's voice sounds sad, soft, and low energy, with a lower pitch, slower pacing, gentle pauses, restrained emotion, and very clear close-up audio.",Metric should follow the intended sad voice rather than happy words.,experiments\boundary_metric_v1\generated\parler_boundary\happy_text_sad_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.098,openai/whisper-tiny.en,This is wonderful news and everyone should be smiling today.,0.00000000,0.00000000,0,0,0,10,this is wonderful news and everyone should be smiling today,4.098375,2.439991,0.060009,0.16520661,0.95300454,0.17401961
sad_text_happy_voice,lexical_voice_conflict,happy,"The room feels empty today, and I really miss you.","Jenna's voice sounds bright, cheerful, and excited, with high energy, a slightly higher pitch, expressive intonation, moderate speed, and very clear close-up audio.",Metric should follow the intended happy voice rather than sad words.,experiments\boundary_metric_v1\generated\parler_boundary\sad_text_happy_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,2.902,openai/whisper-tiny.en,The room feels empty today and I really miss you.,0.00000000,0.00000000,0,0,0,10,the room feels empty today and i really miss you,2.902500,3.445306,0.945306,0.17816505,0.91729647,0.12456747
angry_text_neutral_voice,lexical_voice_conflict,neutral,"I told you this was unacceptable, and I am extremely frustrated.","Jenna's voice sounds calm and neutral, with moderate pitch, moderate speed, plain narration, minimal emotion, and very clear close-up audio.",Metric should follow neutral delivery rather than angry lexical content.,experiments\boundary_metric_v1\generated\parler_boundary\angry_text_neutral_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.913,openai/whisper-tiny.en,I told you this was unacceptable and I am extremely frustrated.,0.00000000,0.00000000,0,0,0,11,i told you this was unacceptable and i am extremely frustrated,3.912562,2.811457,0.311457,0.11890780,0.74789774,0.12051282
neutral_text_angry_voice,lexical_voice_conflict,angry,The package arrived at the front desk at three fifteen in the afternoon.,"Jenna's voice sounds angry, firm, and intense, with sharp articulation, higher energy, a slightly faster pace, strong emphasis, and very clear close-up audio.",Metric should detect angry delivery even when text is neutral.,experiments\boundary_metric_v1\generated\parler_boundary\neutral_text_angry_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.204,openai/whisper-tiny.en,The package arrived at the front desk at 3.15 in the afternoon.,0.08333333,0.02000000,1,0,0,12,the package arrived at the front desk at 315->3.15 in the afternoon,3.204375,3.744880,1.244880,0.08801666,0.86377329,0.16300940
digits_address,asr_normalization,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.","Jenna's voice sounds calm and neutral, with precise articulation, moderate pitch, moderate speed, and very clear close-up audio.",WER may penalize ASR formatting of letters and numbers even if humans understand it.,experiments\boundary_metric_v1\generated\parler_boundary\digits_address.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,5.329,openai/whisper-tiny.en,The access code is a 17B9 and the address is 405 North Lake Drive.,0.00000000,0.00000000,0,0,0,16,the access code is a 17 b 9 and the address is 405 north lake drive,5.329000,3.002439,0.502439,0.13218683,0.78336489,0.16007533
homophones_minimal_pairs,asr_normalization,neutral,"Please write the right word, then read the red label and lead the team forward.","Jenna's voice sounds calm and neutral, with precise articulation, moderate pitch, moderate speed, and very clear close-up audio.",WER may punish homophone or minimal-pair ASR errors that are not necessarily TTS failures.,experiments\boundary_metric_v1\generated\parler_boundary\homophones_minimal_pairs.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.657,openai/whisper-tiny.en,Please write the right word then read the red label and leave the team forward.,0.06666667,0.03174603,1,0,0,15,please write the right word then read the red label and lead->leave the team forward,3.657188,4.101512,1.601512,0.15713874,0.93918848,0.15659341
