id,case_type,expected_metric_challenge,target_emotion,text,audio_path,wer,cer,intelligibility_score_0_100,naturalness_proxy_1_5,naturalness_score_0_100,emotion_top_label,emotion_top_prob,target_emotion_normalized,target_emotion_prob,target_emotion_match,prosody_activity_0_1,style_proxy_0_100,coarse_codec_sim_like,coarse_codec_nll,silence_ratio,asr_transcript
control_happy_happy,control,Clean happy control should score well on WER and happy emotion.,happy,"I just got the best news today, and I cannot stop smiling.",experiments\boundary_metric_v1\generated\parler_boundary\control_happy_happy.wav,0.00000000,0.00000000,100.000,5.000000,100.000,neutral,0.470497,happy,0.103971,0,1.000000,55.199,,,0.24338624,I just got the best news today and I cannot stop smiling.
control_sad_sad,control,Clean sad control should reveal whether SER can detect sadness from Parler audio.,sad,"I miss the quiet mornings we used to share, and the room feels empty now.",experiments\boundary_metric_v1\generated\parler_boundary\control_sad_sad.wav,0.00000000,0.00000000,100.000,5.000000,100.000,happy,0.980182,sad,0.002545,0,1.000000,50.127,,,0.19829424,I miss the quiet mornings we used to share and the room feels empty now.
control_angry_angry,control,Clean angry control should test angry detection without severe intelligibility loss.,angry,"This delay is unacceptable, and I need you to fix the problem right now.",experiments\boundary_metric_v1\generated\parler_boundary\control_angry_angry.wav,0.00000000,0.00000000,100.000,5.000000,100.000,angry,0.350994,angry,0.350994,1,1.000000,67.550,,,0.21000000,This delay is unacceptable and I need you to fix the problem right now.
control_neutral_neutral,control,Clean neutral control should score well on WER and neutral emotion.,neutral,"The meeting starts at nine thirty, and the report is saved in the project folder.",experiments\boundary_metric_v1\generated\parler_boundary\control_neutral_neutral.wav,0.07142857,0.01724138,92.857,5.000000,100.000,neutral,0.795235,neutral,0.795235,1,0.983673,88.945,,,0.20135747,The meeting starts at 9.30 and the report is saved in the project folder.
happy_text_sad_voice,lexical_voice_conflict,Metric should follow the intended sad voice rather than happy words.,sad,"This is wonderful news, and everyone should be smiling today.",experiments\boundary_metric_v1\generated\parler_boundary\happy_text_sad_voice.wav,0.00000000,0.00000000,100.000,5.000000,100.000,happy,0.953662,sad,0.020172,0,1.000000,51.009,,,0.17401961,This is wonderful news and everyone should be smiling today.
sad_text_happy_voice,lexical_voice_conflict,Metric should follow the intended happy voice rather than sad words.,happy,"The room feels empty today, and I really miss you.",experiments\boundary_metric_v1\generated\parler_boundary\sad_text_happy_voice.wav,0.00000000,0.00000000,100.000,5.000000,100.000,happy,0.936487,happy,0.936487,1,0.921707,92.910,,,0.12456747,The room feels empty today and I really miss you.
angry_text_neutral_voice,lexical_voice_conflict,Metric should follow neutral delivery rather than angry lexical content.,neutral,"I told you this was unacceptable, and I am extremely frustrated.",experiments\boundary_metric_v1\generated\parler_boundary\angry_text_neutral_voice.wav,0.00000000,0.00000000,100.000,5.000000,100.000,neutral,0.756618,neutral,0.756618,1,0.962196,85.941,,,0.12051282,I told you this was unacceptable and I am extremely frustrated.
neutral_text_angry_voice,lexical_voice_conflict,Metric should detect angry delivery even when text is neutral.,angry,The package arrived at the front desk at three fifteen in the afternoon.,experiments\boundary_metric_v1\generated\parler_boundary\neutral_text_angry_voice.wav,0.08333333,0.02000000,91.667,5.000000,100.000,neutral,0.857578,angry,0.002112,0,1.000000,50.106,,,0.16300940,The package arrived at the front desk at 3.15 in the afternoon.
digits_address,asr_normalization,WER may penalize ASR formatting of letters and numbers even if humans understand it.,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",experiments\boundary_metric_v1\generated\parler_boundary\digits_address.wav,0.00000000,0.00000000,100.000,5.000000,100.000,neutral,0.919919,neutral,0.919919,1,0.934232,92.708,,,0.16007533,The access code is a 17B9 and the address is 405 North Lake Drive.
homophones_minimal_pairs,asr_normalization,WER may punish homophone or minimal-pair ASR errors that are not necessarily TTS failures.,neutral,"Please write the right word, then read the red label and lead the team forward.",experiments\boundary_metric_v1\generated\parler_boundary\homophones_minimal_pairs.wav,0.06666667,0.03174603,93.333,5.000000,100.000,neutral,0.748683,neutral,0.748683,1,0.822009,78.535,,,0.15659341,Please write the right word then read the red label and leave the team forward.
function_word_repetition,asr_normalization,WER may struggle with repeated short function words.,neutral,"Can you can the can, or can we can it later if we can.",experiments\boundary_metric_v1\generated\parler_boundary\function_word_repetition.wav,0.00000000,0.00000000,100.000,5.000000,100.000,neutral,0.976893,neutral,0.976893,1,0.792677,88.478,,,0.24223602,can you can the can or can we can it later if we can?
technical_acronyms,asr_normalization,WER may penalize acronyms and casing differences more than a listener would.,neutral,"The GPU loads JSON from SQL, then sends HTTPS requests to the API.",experiments\boundary_metric_v1\generated\parler_boundary\technical_acronyms.wav,0.38461538,0.51923077,61.538,5.000000,100.000,neutral,0.886291,neutral,0.886291,1,0.954739,92.052,,,0.12149533,"the pocha loads jump from dropping, then sends twice requests to the charter."
fast_tongue_twister,intelligibility_stress,High speed should test whether WER captures real intelligibility degradation.,neutral,"She sells sea shells by the sea shore, then swiftly switches six slick scripts.",experiments\boundary_metric_v1\generated\parler_boundary\fast_tongue_twister.wav,0.50000000,0.16129032,50.000,5.000000,100.000,neutral,0.598071,neutral,0.598071,1,1.000000,79.904,,,0.08943089,She sells seashells by the seashore then swiftly switches six six groups.
noisy_neutral,acoustic_quality_trap,Naturalness should drop if the model actually produces noise.,neutral,The package arrived at the front desk at three fifteen in the afternoon.,experiments\boundary_metric_v1\generated\parler_boundary\noisy_neutral.wav,0.08333333,0.02000000,91.667,5.000000,100.000,neutral,0.793530,neutral,0.793530,1,0.929980,86.175,,,0.13623978,The package arrived at the front desk at 3.15 in the afternoon.
distant_reverb_neutral,acoustic_quality_trap,Naturalness should drop if the model actually produces distant reverberant speech.,neutral,"Please open the settings menu, choose account preferences, and confirm the update.",experiments\boundary_metric_v1\generated\parler_boundary\distant_reverb_neutral.wav,0.08333333,0.07352941,91.667,4.995757,99.894,neutral,0.832046,neutral,0.832046,1,0.951073,89.156,,,0.20851064,"Please open the settings menu, choose account preferences, and confirm the line."
robotic_monotone,acoustic_quality_trap,A human may rate this unnatural even when WER and neutral SER are good.,neutral,The system completed the update and stored the final log in the archive.,experiments\boundary_metric_v1\generated\parler_boundary\robotic_monotone.wav,0.07692308,0.08474576,92.308,5.000000,100.000,neutral,0.851837,neutral,0.851837,1,0.931166,89.150,,,0.15508021,The system completed the OP and stored the final log in the archive.
whisper_sad,style_quality_trap,"Whispered sad speech tests style detection, ASR robustness, and naturalness sensitivity.",sad,I am sorry. I did not know how much that moment meant to you.,experiments\boundary_metric_v1\generated\parler_boundary\whisper_sad.wav,0.00000000,0.00000000,100.000,5.000000,100.000,angry,0.925998,sad,0.000727,0,0.933154,46.694,,,0.20652174,I'm sorry. I did not know how much that moment meant to you.
exaggerated_happy,style_quality_trap,Over-expressive happy speech may be emotionally correct but perceptually unnatural.,happy,"That was amazing, wonderful, and unbelievably exciting for everyone here.",experiments\boundary_metric_v1\generated\parler_boundary\exaggerated_happy.wav,0.00000000,0.00000000,100.000,5.000000,100.000,happy,0.495681,happy,0.495681,1,0.698917,59.730,,,0.12010444,"That was amazing, wonderful, and unbelievably exciting for everyone here."
