id,case_type,target_emotion,text,description,expected_metric_challenge,audio_path,model,generation_seed,generation_temperature,generation_do_sample,sample_rate,audio_duration_sec,naturalness_proxy_1_5,naturalness_penalty,nat_duration_sec,nat_rms_dbfs,nat_peak_abs,nat_clipping_ratio,nat_silence_ratio,nat_spectral_flatness
control_happy_happy,control,happy,"I just got the best news today, and I cannot stop smiling.","Jenna's voice sounds bright, cheerful, and excited, with high energy, a slightly higher pitch, expressive intonation, moderate speed, and very clear close-up audio.",Clean happy control should score well on WER and happy emotion.,experiments\boundary_metric_v1\generated\parler_boundary\control_happy_happy.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.796,5.000000,0.000000,3.796500,-18.679171,0.835771,0.00000000,0.209549,0.027110
control_sad_sad,control,sad,"I miss the quiet mornings we used to share, and the room feels empty now.","Jenna's voice sounds sad, soft, and low energy, with a lower pitch, slower pacing, gentle pauses, restrained emotion, and very clear close-up audio.",Clean sad control should reveal whether SER can detect sadness from Parler audio.,experiments\boundary_metric_v1\generated\parler_boundary\control_sad_sad.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.702,5.000000,0.000000,4.702063,-19.989544,0.812910,0.00000000,0.190171,0.015515
control_angry_angry,control,angry,"This delay is unacceptable, and I need you to fix the problem right now.","Jenna's voice sounds angry, firm, and intense, with sharp articulation, higher energy, a slightly faster pace, strong emphasis, and very clear close-up audio.",Clean angry control should test angry detection without severe intelligibility loss.,experiments\boundary_metric_v1\generated\parler_boundary\control_angry_angry.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.017,5.000000,0.000000,4.017062,-17.257601,0.894113,0.00000000,0.197995,0.022256
control_neutral_neutral,control,neutral,"The meeting starts at nine thirty, and the report is saved in the project folder.","Jenna's voice sounds calm and neutral, with moderate pitch, moderate speed, plain narration, minimal emotion, and very clear close-up audio.",Clean neutral control should score well on WER and neutral emotion.,experiments\boundary_metric_v1\generated\parler_boundary\control_neutral_neutral.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.435,5.000000,0.000000,4.435062,-17.874875,0.792913,0.00000000,0.179138,0.013025
happy_text_sad_voice,lexical_voice_conflict,sad,"This is wonderful news, and everyone should be smiling today.","Jenna's voice sounds sad, soft, and low energy, with a lower pitch, slower pacing, gentle pauses, restrained emotion, and very clear close-up audio.",Metric should follow the intended sad voice rather than happy words.,experiments\boundary_metric_v1\generated\parler_boundary\happy_text_sad_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,4.098,5.000000,0.000000,4.098375,-15.639452,0.953005,0.00000000,0.167076,0.015626
sad_text_happy_voice,lexical_voice_conflict,happy,"The room feels empty today, and I really miss you.","Jenna's voice sounds bright, cheerful, and excited, with high energy, a slightly higher pitch, expressive intonation, moderate speed, and very clear close-up audio.",Metric should follow the intended happy voice rather than sad words.,experiments\boundary_metric_v1\generated\parler_boundary\sad_text_happy_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,2.902,5.000000,0.000000,2.902500,-14.983550,0.917296,0.00000000,0.104167,0.017404
angry_text_neutral_voice,lexical_voice_conflict,neutral,"I told you this was unacceptable, and I am extremely frustrated.","Jenna's voice sounds calm and neutral, with moderate pitch, moderate speed, plain narration, minimal emotion, and very clear close-up audio.",Metric should follow neutral delivery rather than angry lexical content.,experiments\boundary_metric_v1\generated\parler_boundary\angry_text_neutral_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.913,5.000000,0.000000,3.912562,-18.495793,0.747898,0.00000000,0.089974,0.022509
neutral_text_angry_voice,lexical_voice_conflict,angry,The package arrived at the front desk at three fifteen in the afternoon.,"Jenna's voice sounds angry, firm, and intense, with sharp articulation, higher energy, a slightly faster pace, strong emphasis, and very clear close-up audio.",Metric should detect angry delivery even when text is neutral.,experiments\boundary_metric_v1\generated\parler_boundary\neutral_text_angry_voice.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.204,5.000000,0.000000,3.204375,-21.108702,0.863773,0.00000000,0.144654,0.019611
digits_address,asr_normalization,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.","Jenna's voice sounds calm and neutral, with precise articulation, moderate pitch, moderate speed, and very clear close-up audio.",WER may penalize ASR formatting of letters and numbers even if humans understand it.,experiments\boundary_metric_v1\generated\parler_boundary\digits_address.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,5.329,5.000000,0.000000,5.329000,-17.576236,0.783365,0.00000000,0.139623,0.021025
homophones_minimal_pairs,asr_normalization,neutral,"Please write the right word, then read the red label and lead the team forward.","Jenna's voice sounds calm and neutral, with precise articulation, moderate pitch, moderate speed, and very clear close-up audio.",WER may punish homophone or minimal-pair ASR errors that are not necessarily TTS failures.,experiments\boundary_metric_v1\generated\parler_boundary\homophones_minimal_pairs.wav,parler-tts/parler-tts-mini-v1,2026,1.0000,True,44100,3.657,5.000000,0.000000,3.657188,-16.074335,0.939188,0.00000000,0.137741,0.013308
