id,text_id,tts_system,model,voice,source_config,is_boundary,boundary_type,case_type,target_emotion,text,description,audio_path,generation_seed,sample_rate,audio_duration_sec,emotion_model,emotion_top_label,emotion_top_prob,emotion_entropy,target_emotion_normalized,target_emotion_prob,target_emotion_match,emotion_prob_neutral,emotion_prob_happy,emotion_prob_angry,emotion_prob_sad,style_duration_sec,f0_mean_hz,f0_std_hz,f0_range_hz,f0_median_hz,f0_std_semitones,f0_mad_semitones,f0_range_semitones_p90_p10,voiced_ratio,energy_cv,style_silence_ratio,prosody_activity_0_1
parler__normal_01,normal_01,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,0,none,regular,neutral,Please send the final report before the meeting starts tomorrow.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_01.wav,2026,44100,3.437,superb/wav2vec2-base-superb-er,happy,0.456406,0.977554,neutral,0.425097,0,0.425097,0.456406,0.118008,0.000490,3.436562,214.956100,61.697725,326.605505,202.531646,4.589245,2.595815,10.470542,0.627566,0.828984,0.055718,0.752040
parler__normal_02,normal_02,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,0,none,regular,neutral,"The garden was quiet after the rain, and the air felt cool.",Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_02.wav,2026,44100,3.320,superb/wav2vec2-base-superb-er,neutral,0.739594,0.592189,neutral,0.739594,1,0.739594,0.257354,0.001641,0.001410,3.320500,199.895043,54.071328,312.087912,188.235294,4.184969,1.742375,9.265045,0.727273,0.676603,0.072727,0.699519
parler__normal_03,normal_03,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,0,none,regular,neutral,I left the blue notebook beside the lamp in the study.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_03.wav,2026,44100,2.531,superb/wav2vec2-base-superb-er,neutral,0.694727,0.763597,neutral,0.694727,1,0.694727,0.051181,0.252373,0.001719,2.531000,185.492991,40.699825,275.958188,179.775281,3.432724,2.283975,8.164143,0.629482,0.830960,0.071713,0.701526
parler__boundary_digits,boundary_digits,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,1,digits_and_address,boundary,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",Clear neutral narration with careful pronunciation of every letter and number.,experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_digits.wav,2026,44100,5.120,superb/wav2vec2-base-superb-er,neutral,0.936503,0.284635,neutral,0.936503,1,0.936503,0.031590,0.030995,0.000912,5.120000,215.729772,39.245784,187.400177,210.526316,3.090809,2.182060,7.900620,0.654902,0.734957,0.094118,0.660141
parler__boundary_acronyms,boundary_acronyms,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,1,technical_acronyms,boundary,neutral,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",Clear neutral technical narration with every acronym articulated distinctly.,experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_acronyms.wav,2026,44100,6.397,superb/wav2vec2-base-superb-er,happy,0.647478,0.726921,neutral,0.332647,0,0.332647,0.647478,0.019595,0.000280,6.397125,232.325197,54.938705,265.546218,213.333333,3.806382,2.569498,9.982527,0.576138,0.864839,0.092622,0.727245
parler__boundary_tongue_twister,boundary_tongue_twister,parler,parler-tts/parler-tts-mini-v1,Jenna,seeded-sampling-neutral,1,fast_tongue_twister,boundary,neutral,"Red leather, yellow leather, unique New York, repeated twice without rushing.",Clear neutral narration at a moderate pace with precise articulation.,experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_tongue_twister.wav,2026,44100,4.284,superb/wav2vec2-base-superb-er,angry,0.490146,1.007778,neutral,0.149201,0,0.149201,0.359698,0.490146,0.000955,4.284125,183.475920,55.026446,327.272727,172.043011,4.333938,2.035237,8.411240,0.610329,0.951753,0.126761,0.766458
bark__normal_01,normal_01,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,regular,neutral,Please send the final report before the meeting starts tomorrow.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_01.wav,2026,24000,7.253,superb/wav2vec2-base-superb-er,neutral,0.944272,0.252385,neutral,0.944272,1,0.944272,0.018145,0.037192,0.000391,7.253375,116.677923,47.973866,328.251121,103.896104,4.984704,1.404473,11.738290,0.467497,1.094057,0.347165,0.812187
bark__normal_02,normal_02,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,regular,neutral,"The garden was quiet after the rain, and the air felt cool.",Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_02.wav,2026,24000,8.093,superb/wav2vec2-base-superb-er,neutral,0.998047,0.015144,neutral,0.998047,1,0.998047,0.001601,0.000328,0.000024,8.093375,104.880025,33.058819,282.003711,95.808383,3.559144,0.849856,4.999633,0.444857,1.279638,0.423792,0.777517
bark__normal_03,normal_03,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,0,none,regular,neutral,I left the blue notebook beside the lamp in the study.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_03.wav,2026,24000,5.200,superb/wav2vec2-base-superb-er,neutral,0.853051,0.431554,neutral,0.853051,1,0.853051,0.002653,0.144187,0.000110,5.200000,115.150312,48.205283,328.888889,100.628931,4.927006,1.259635,10.249800,0.615830,0.858321,0.200772,0.769735
bark__boundary_digits,boundary_digits,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,1,digits_and_address,boundary,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",Clear neutral narration with careful pronunciation of every letter and number.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\boundary_digits.wav,2026,24000,11.280,superb/wav2vec2-base-superb-er,neutral,0.984037,0.093061,neutral,0.984037,1,0.984037,0.007836,0.008111,0.000016,11.280000,128.472930,44.669503,296.621325,111.111111,4.804259,1.931903,12.103978,0.486679,1.063258,0.340142,0.801795
bark__boundary_acronyms,boundary_acronyms,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,1,technical_acronyms,boundary,neutral,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",Clear neutral technical narration with every acronym articulated distinctly.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\boundary_acronyms.wav,2026,24000,10.853,superb/wav2vec2-base-superb-er,neutral,0.998164,0.014455,neutral,0.998164,1,0.998164,0.000475,0.001361,0.000000,10.853375,132.749832,71.305420,323.076923,105.263158,6.712620,1.880500,18.442419,0.496768,1.197806,0.342567,0.867451
bark__boundary_tongue_twister,boundary_tongue_twister,bark,suno/bark-small,v2/en_speaker_6,seeded-default-sampling,1,fast_tongue_twister,boundary,neutral,"Red leather, yellow leather, unique New York, repeated twice without rushing.",Clear neutral narration at a moderate pace with precise articulation.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\boundary_tongue_twister.wav,2026,24000,9.773,superb/wav2vec2-base-superb-er,neutral,0.994678,0.035894,neutral,0.994678,1,0.994678,0.001099,0.004223,0.000001,9.773375,124.828331,43.821779,298.050827,111.111111,4.670039,1.985501,11.604381,0.408205,1.416172,0.524103,0.837990
sapi__normal_01,normal_01,sapi,Windows SAPI,Microsoft Zira Desktop,rate=0,0,none,regular,neutral,Please send the final report before the meeting starts tomorrow.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\sapi_zira\normal_01.wav,,22050,4.014,superb/wav2vec2-base-superb-er,angry,0.690974,0.749205,neutral,0.262801,0,0.262801,0.046161,0.690974,0.000063,4.013813,187.046868,30.973134,132.213781,177.777778,2.814420,1.824037,6.935713,0.558897,0.891997,0.280702,0.677561
sapi__normal_02,normal_02,sapi,Windows SAPI,Microsoft Zira Desktop,rate=0,0,none,regular,neutral,"The garden was quiet after the rain, and the air felt cool.",Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\sapi_zira\normal_02.wav,,22050,4.239,superb/wav2vec2-base-superb-er,neutral,0.768729,0.595306,neutral,0.768729,1,0.768729,0.217788,0.012659,0.000823,4.238812,177.003694,25.289323,112.342942,172.043011,2.475276,1.599198,6.988511,0.539192,1.005243,0.339667,0.674410
sapi__normal_03,normal_03,sapi,Windows SAPI,Microsoft Zira Desktop,rate=0,0,none,regular,neutral,I left the blue notebook beside the lamp in the study.,Clear neutral narration with moderate speed and minimal emotion.,experiments\multisystem_generalization_v1\generated\sapi_zira\normal_03.wav,,22050,3.484,superb/wav2vec2-base-superb-er,angry,0.575699,0.888303,neutral,0.345919,0,0.345919,0.077758,0.575699,0.000624,3.483812,179.005212,23.769096,103.212750,175.824176,2.274676,1.593063,5.989221,0.560694,0.926163,0.320809,0.645481
sapi__boundary_digits,boundary_digits,sapi,Windows SAPI,Microsoft Zira Desktop,rate=0,1,digits_and_address,boundary,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",Clear neutral narration with careful pronunciation of every letter and number.,experiments\multisystem_generalization_v1\generated\sapi_zira\boundary_digits.wav,,22050,6.504,superb/wav2vec2-base-superb-er,neutral,0.586868,0.849906,neutral,0.586868,1,0.586868,0.055812,0.356065,0.001255,6.503563,176.777843,23.074830,205.333333,175.824176,2.189556,1.180844,4.947974,0.615741,0.831172,0.245370,0.619814
sapi__boundary_acronyms,boundary_acronyms,sapi,Windows SAPI,Microsoft Zira Desktop,rate=0,1,technical_acronyms,boundary,neutral,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",Clear neutral technical narration with every acronym articulated distinctly.,experiments\multisystem_generalization_v1\generated\sapi_zira\boundary_acronyms.wav,,22050,7.273,superb/wav2vec2-base-superb-er,neutral,0.816497,0.579061,neutral,0.816497,1,0.816497,0.141032,0.041878,0.000592,7.273313,185.254317,34.490251,300.000000,183.908046,2.813005,1.522945,6.119268,0.638621,0.772002,0.191724,0.651769
sapi__boundary_tongue_twister,boundary_tongue_twister,sapi,Windows SAPI,Microsoft Zira Desktop,rate=0,1,fast_tongue_twister,boundary,neutral,"Red leather, yellow leather, unique New York, repeated twice without rushing.",Clear neutral narration at a moderate pace with precise articulation.,experiments\multisystem_generalization_v1\generated\sapi_zira\boundary_tongue_twister.wav,,22050,5.969,superb/wav2vec2-base-superb-er,angry,0.510925,1.028846,neutral,0.276323,0,0.276323,0.212623,0.510925,0.000128,5.968625,180.292099,26.286901,238.095238,179.775281,2.576735,1.843478,6.774684,0.516835,1.041880,0.375421,0.687532
